run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
439,127,75,1.5,8,5,5.427,1.0816,0.4054
440,137,76,1.52,9,-6,6.461,1.0966,0.3733
441,127,66,1.32,4,0,1.47,0.8629,0.2308
442,117,66,1.32,14,14,6.697,1.0133,0.3077
443,108,71,1.42,7,5,3.07,1.0406,0.4143
444,119,62,1.24,4,-2,1.468,1.0441,0.2787
445,131,71,1.42,8,-3,2.0,0.9525,0.2143
446,128,80,1.6,20,18,6.05,1.0493,0.4557
447,124,63,1.26,11,-9,6.0,0.9422,0.3065
448,121,76,1.52,10,4,5.526,0.97,0.36
449,128,72,1.44,12,10,7.306,0.9778,0.3239
450,140,67,1.34,5,-5,1.716,1.0923,0.2424
451,123,67,1.34,8,-1,2.373,0.973,0.2727
452,125,65,1.3,8,-5,3.954,0.9397,0.2031
453,131,65,1.3,4,3,2.031,1.0503,0.3594
454,119,61,1.22,6,5,2.393,1.0421,0.3167
455,131,67,1.34,7,-7,4.045,0.9114,0.3485
456,127,73,1.46,9,3,3.041,1.0099,0.2778
457,131,77,1.54,9,-5,2.195,0.8908,0.3421
458,132,68,1.36,9,-2,2.5,0.9835,0.3284
459,129,67,1.34,3,3,1.343,1.1076,0.3485
460,133,69,1.38,16,15,6.159,0.8829,0.3235
461,124,77,1.54,8,-3,3.325,0.9722,0.3553
462,126,81,1.62,15,-9,3.0,1.1094,0.3
463,133,58,1.16,6,-4,2.655,1.0203,0.193
464,122,65,1.3,6,3,3.123,1.0205,0.25
465,121,65,1.3,5,1,0.662,0.9557,0.375
466,125,65,1.3,4,1,1.062,0.9058,0.3281
467,131,72,1.44,9,-8,3.694,0.9862,0.338
468,114,64,1.28,3,2,1.438,1.0735,0.3492
469,116,67,1.34,6,-1,2.851,0.9072,0.3636
470,136,67,1.34,4,3,1.746,0.8738,0.197
471,118,67,1.34,8,-3,2.507,1.0198,0.3182
472,125,68,1.36,4,-4,2.309,0.989,0.3433
473,127,63,1.26,9,-9,4.778,0.9329,0.2742
474,116,66,1.32,5,2,1.5,1.0178,0.2615
475,131,73,1.46,16,15,7.192,1.0102,0.3472
476,112,73,1.46,10,5,1.863,1.0739,0.4028
477,130,71,1.42,10,9,3.183,0.9401,0.2714
478,119,64,1.28,6,0,1.797,0.8909,0.2857
479,125,73,1.46,7,-7,2.904,0.8778,0.3472
480,113,68,1.36,11,-10,7.0,0.9665,0.3582
481,126,68,1.36,9,-2,2.324,0.9214,0.3731
482,135,63,1.26,5,3,1.095,1.0467,0.2581
