run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
148,0,86,1.72,8,4,3.744,1.0805,1.0
149,0,86,1.72,17,-16,8.384,0.9788,1.0
150,10,78,1.56,13,8,5.808,1.0384,0.987
151,0,81,1.62,9,7,5.531,1.102,1.0
152,0,93,1.86,14,5,8.258,1.0652,1.0
153,0,86,1.72,23,-16,6.558,1.0981,1.0
154,10,86,1.72,9,2,2.953,1.0278,0.9882
155,10,109,2.18,23,5,7.596,1.0604,0.9907
156,0,103,2.06,15,1,3.68,1.0164,1.0
157,10,96,1.92,16,4,10.125,1.0539,0.9895
158,0,86,1.72,20,-14,10.849,0.99,1.0
159,10,68,1.36,8,0,3.838,0.9634,0.9851
160,0,90,1.8,28,28,10.467,1.0614,1.0
161,0,86,1.72,20,18,8.953,1.0769,1.0
162,0,76,1.52,10,8,6.132,1.0278,1.0
163,0,79,1.58,12,-9,4.38,1.0517,1.0
164,0,83,1.66,11,-7,1.819,1.0092,1.0
165,0,91,1.82,14,-3,5.44,1.0357,1.0
166,0,88,1.76,19,12,9.602,1.06,1.0
167,0,140,2.8,26,-10,9.086,1.1053,1.0
168,0,100,2.0,23,20,13.5,1.0523,1.0
169,0,86,1.72,11,2,2.302,1.038,1.0
170,0,92,1.84,11,0,2.804,0.9754,1.0
171,0,73,1.46,9,-9,4.822,1.0739,1.0
172,0,73,1.46,7,-1,1.329,0.9986,1.0
173,0,94,1.88,22,-18,5.67,1.0008,1.0
174,0,78,1.56,18,-12,7.615,0.9816,1.0
175,0,74,1.48,14,-14,8.541,1.0078,1.0
176,0,89,1.78,17,17,8.101,0.9541,1.0
177,0,91,1.82,9,3,2.33,1.0113,1.0
178,0,76,1.52,17,-14,6.408,0.8845,1.0
179,0,71,1.42,5,-1,1.549,0.9153,1.0
180,0,73,1.46,14,11,7.219,1.0647,1.0
181,0,80,1.6,7,-4,1.888,1.0386,1.0
182,0,94,1.88,35,34,14.947,1.0448,1.0
