dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
96,obstacles_p10=0.050,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.05,4.775,9.2744,0.0229,1.3856,0.0952,118.315,6.7113,0.9912,0.0588,9.12,3.7638,0.337,200,50,100
97,obstacles_p10=0.100,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,5.05,10.1475,-0.0084,1.3829,0.0889,126.86,6.6921,0.9937,0.0575,8.255,3.2049,0.3141,200,50,100
98,obstacles_p10=0.150,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.15,5.325,10.8694,-0.07,1.3707,0.0812,134.635,7.5536,1.0018,0.0583,7.925,3.0996,0.3061,200,50,100
99,obstacles_p10=0.200,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.2,5.6,11.44,-0.1501,1.3803,0.0906,144.32,7.558,0.9959,0.0581,8.195,3.0502,0.2891,200,50,100
100,obstacles_p10=0.250,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.25,5.875,11.8594,-0.243,1.3517,0.086,156.67,7.8996,0.9857,0.0676,7.795,3.431,0.2688,200,50,100
101,obstacles_p10=0.300,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.3,6.15,12.1275,-0.346,1.3424,0.084,168.53,8.0432,0.9886,0.0642,7.95,3.3033,0.2535,200,50,100
102,obstacles_p10=0.350,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.35,6.425,12.2444,-0.4578,1.3272,0.0817,181.875,8.6981,0.9787,0.0602,7.755,2.9544,0.2473,200,50,100
103,obstacles_p10=0.400,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.4,6.7,12.21,-0.5786,1.3198,0.0796,196.67,8.9556,0.9835,0.0636,7.55,2.9241,0.2321,200,50,100
104,obstacles_p10=0.450,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.45,6.975,12.0244,-0.7093,1.3114,0.0819,213.76,9.5803,0.9875,0.057,7.655,3.2448,0.2165,200,50,100
105,obstacles_p10=0.500,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5,7.25,11.6875,-0.8517,1.2817,0.0875,228.735,10.3071,0.9775,0.0588,6.975,2.9594,0.2002,200,50,100
